equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
Analogman Sun Face Fuzz Pedal,Analogman Sun Face Fuzz Pedal,,,,Guitar,/items/analogman-sun-face-fuzz-pedal
Analog Man Sun Lion Fuzz Pedal,Analogman Sun Lion Fuzz Pedal,,,,Guitar,/items/analog-man-sun-lion-fuzz-pedal
Analog Man The White Stripes Custom Tuner Mute Box,Analogman The White Stripes Custom Tuner Mute Box,,,,Guitar,/items/analog-man-the-white-stripes-custom-tuner-mute-box
Analog Man Tuner Box,Analogman Tuner Box,,,,Guitar,/items/analog-man-tuner-box
Analogman turbo tube screamer,Analogman TS9DX Turbo Tube Screamer,,,,Guitar,/items/analogman-turbo-tube-screamer
Anasound Utopia Echo - tape delay with modulation,Anasounds Utopia Echo - tape delay with modulation,,,,Guitar,/items/anasound-utopia-echo-tape-delay-with-modulation
Aphex Punch Factory,Aphex Punch Factory,,,,Guitar,/items/aphex-punch-factory
Arbiter Fuzz Face (1967),Arbiter Fuzz Face,,,,Guitar,/items/arbiter-fuzz-face-1967
ARC Effects Big Green,ARC Effects Big Green,,,,Guitar,/items/arc-effects-big-green
Arc Effects Crimson King Fuzz Pedal,ARC Effects Crimson King Fuzz Pedal,,,,Guitar,/items/arc-effects-crimson-king-fuzz-pedal
Arc Effects Klone V2,ARC Effects Klone V2,,,,Guitar,/items/arc-effects-klone-v2
Arion SCH-1 Stereo Chorus Pedal,Arion SCH-1 Stereo Chorus Pedal,,,,Guitar,/items/arion-sch-1-stereo-chorus-pedal
Arion SCH-Z Stereo Chorus Pedal,Arion SCH-Z Stereo Chorus Pedal,,,,Guitar,/items/arion-sch-z-stereo-chorus-pedal
ARION SCO-1 Compressor,Arion SCO-1 Compressor,,,,Guitar,/items/arion-sco-1-compressor
Arion SPH-1 Stereo Phaser,Arion SPH-1 Stereo Phaser,,,,Guitar,/items/arion-sph-1-stereo-phaser
Arion Stereo Delay SAD-1,Arion Stereo Delay SAD-1,,,,Guitar,/items/arion-stereo-delay-sad-1
Arion Stereo Flanger,Arion Stereo Flanger,,,,Guitar,/items/arion-stereo-flanger
Artec ADL-2 Analog Delay,Artec ADL-2 Analog Delay,,,,Guitar,/items/artec-adl-2-analog-delay
Artec RSV3 Resovibe,Artec RSV3 Resovibe,,,,Guitar,/items/artec-rsv3-resovibe
Ashdown Engineering Dr Green Octa Dose Bass Octave Pedal,Ashdown Engineering Dr Green Octa Dose Bass Octave Pedal,,,,Guitar,/items/ashdown-engineering-dr-green-octa-dose-bass-octave-pedal
Atomic Amps AmpliFire Multi-Effects Pedal,Atomic Amps AmpliFire Multi-Effects Pedal,,,,Guitar,/items/atomic-amps-amplifire-multi-effects-pedal
Atomic Boost OC 44,Swart Atomic Boost OC44,Swart,,,Guitar,/items/atomic-boost-oc-44
Bad Bob Boost Pedal,Analogman Bad Bob Boost Pedal,Analogman,,,Guitar,/items/bad-bob-boost-pedal
Bad Cat Siamese Drive,Bad Cat Siamese Drive,,,,Guitar,/items/bad-cat-siamese-drive
banez Tone-Lok AP7 Analog Phaser Guitar Effects Pedal,Ibanez Tone-Lok AP7 Analog Phaser Guitar Effects Pedal,,,,Guitar,/items/banez-tone-lok-ap7-analog-phaser-guitar-effects-pedal
Banzai Cold Fusion Overdrive,Banzai Cold Fusion Overdrive,,,,Guitar,/items/banzai-cold-fusion-overdrive
Barbarossa Gargoyle,Barbarossa Gargoyle,,,,Guitar,/items/barbarossa-gargoyle
Barbarossa Uranus,Barbarossa Uranus,,,,Guitar,/items/barbarossa-uranus
Barber Direct Drive,Barber Direct Drive,,,,Guitar,/items/barber-direct-drive
Barber Electronics Small Fry Overdrive Pedal,Barber Electronics Small Fry Overdrive Pedal,,,,Guitar,/items/barber-electronics-small-fry-overdrive-pedal
Barber Tone Press Parallel Compressor,Barber Tone Press Parallel Compressor,,,,Guitar,/items/barber-tone-press-parallel-compressor
Barber Tone Pump EQ,Barber Tone Pump EQ,,,,Guitar,/items/barber-tone-pump-eq
Basic Audio Gnarly Fuzz Pedal,Basic Audio Gnarly Fuzz Pedal,,,,Guitar,/items/basic-audio-gnarly-fuzz-pedal
Basic Audio Scarab Deluxe Fuzz Pedal,Basic Audio Scarab Deluxe Fuzz Pedal,,,,Guitar,/items/basic-audio-scarab-deluxe-fuzz-pedal
BB Preamp Andy Timmons Signature,Xotic BB Preamp Andy Timmons Signature,Xotic,,,Guitar,/items/bb-preamp-andy-timmons-signature
BBE G Screamer OG-1 Gus G Signature Overdrive,BBE G Screamer OG-1 Gus G Signature Overdrive,,,,Guitar,/items/bbe-g-screamer-og-1-gus-g-signature-overdrive
BBE Green Screamer Vintage Overdrive,BBE Green Screamer Vintage Overdrive,,,,Guitar,/items/bbe-green-screamer-vintage-overdrive
BBE Mind Bender Vibrato/Chorus Effects Pedal,BBE Mind Bender Vibrato/Chorus Effects Pedal,,,,Guitar,/items/bbe-mind-bender-vibrato-chorus-effects-pedal
BBE Orange Squash Compressor Pedal,BBE Orange Squash Compressor Pedal,,,,Guitar,/items/bbe-orange-squash-compressor-pedal
BBE Sonic Stomp Sonic Maximizer Guitar Effects Pedal,BBE Sonic Stomp Sonic Maximizer Guitar Effects Pedal,,,,Guitar,/items/bbe-sonic-stomp-sonic-maximizer-guitar-effects-pedal
BBE Soul Vibe Pedal,BBE Soul Vibe Pedal,,,,Guitar,/items/bbe-soul-vibe-pedal
BBE Supa-Charger Power Supply,BBE Supa-Charger Power Supply,,,,Guitar,/items/bbe-supa-charger-power-supply
BearFoot FX Baby Pink Booster,BearFoot FX Baby Pink Booster,,,,Guitar,/items/bearfoot-fx-baby-pink-booster
BearFoot FX Honey Bee Overdrive,BearFoot FX Honey Bee Overdrive,,,,Guitar,/items/bearfoot-fx-honey-bee-overdrive
Bearfoot Fx Honey Beest Overdrive,BearFoot Fx Honey Beest Overdrive,,,,Guitar,/items/bearfoot-fx-honey-beest-overdrive
Bearfoot FX Model H,BearFoot FX Model H,,,,Guitar,/items/bearfoot-fx-model-h
BearFoot FX Pale Green Compressor,BearFoot FX Pale Green Compressor,,,,Guitar,/items/bearfoot-fx-pale-green-compressor
BearFoot FX Red Rooster Booster,BearFoot FX Red Rooster Booster,,,,Guitar,/items/bearfoot-fx-red-rooster-booster
Bearfoox FX Mint Green Mini Vibe,Bearfoox FX Mint Green Mini Vibe,,,,Guitar,/items/bearfoox-fx-mint-green-mini-vibe
Behringer ADI21 Acoustic Driver DI,Behringer ADI21 Acoustic Driver DI,,,,Guitar,/items/behringer-adi21-acoustic-driver-di
Behringer DC9 Dynamics Compressor,Behringer DC9 Dynamics Compressor,,,,Guitar,/items/behringer-dc9-dynamics-compressor
Behringer DD400 Digital Delay,Behringer DD400 Digital Delay,,,,Guitar,/items/behringer-dd400-digital-delay
Behringer DR100 Digital Reverb,Behringer DR100 Digital Reverb,,,,Guitar,/items/behringer-dr100-digital-reverb
Behringer DR400 - Digital Reverb-Delay,Behringer DR400 Digital Reverb-Delay,,,,Guitar,/items/behringer-dr400-digital-reverb-delay
Behringer DR600 Digital Reverb,Behringer DR600 Digital Reverb,,,,Guitar,/items/behringer-dr600-digital-reverb
Behringer Hellbabe HB01 Wah Pedal,Behringer Hellbabe HB01 Wah Pedal,,,,Guitar,/items/behringer-hellbabe-hb01-wah-pedal
Behringer RV600 Reverb Machine,Behringer RV600 Reverb Machine,,,,Guitar,/items/behringer-rv600-reverb-machine
Behringer UM200 Ultra Metal,Behringer UM200 Ultra Metal,,,,Guitar,/items/behringer-um200-ultra-metal
Behringer UT100 Ultra Tremolo,Behringer UT100 Ultra Tremolo,,,,Guitar,/items/behringer-ut100-ultra-tremolo
Behringer V-tone DI GDI21,Behringer V-tone DI GDI21,,,,Guitar,/items/behringer-v-tone-di-gdi21
Behringer VD-400,Behringer VD-400,,,Analog Delay,Guitar,/items/behringer-vd-400
Belcat Analog Delay,Belcat Analog Delay,,,Analog Delay,Guitar,/items/belcat-analog-delay
Bell ADT Delay Unit,Bell ADT Delay Unit,,,,Guitar,/items/bell-adt-delay-unit
Berkos FX The Germanium Experience,Berkos FX The Germanium Experience,,,,Guitar,/items/berkos-fx-the-germanium-experience
Berkos FX Third Stone,Berkos FX Third Stone,,,,Guitar,/items/berkos-fx-third-stone
Beta Aivin OC-100 Super Octave,Beta Aivin OC-100 Super Octave,,,,Guitar,/items/beta-aivin-oc-100-super-octave
Big Bite The Big Bite Pedal,Big Bite The Big Bite Pedal,,,,Guitar,/items/big-bite-the-big-bite-pedal
Big Ear N.Y.C. Loaf Fuzz Pedal,Big Ear N.Y.C. Loaf Fuzz Pedal,,,,Guitar,/items/big-ear-n-y-c-loaf-fuzz-pedal
Big Ear N.Y.C. Woodcutter Distortion Pedal,Big Ear N.Y.C. Woodcutter Distortion Pedal,,,,Guitar,/items/big-ear-n-y-c-woodcutter-distortion-pedal
Big Joe Stomp Box Company B-408 Phaser,Big Joe Stomp Box Company B-408 Phaser,,,,Guitar,/items/big-joe-stomp-box-company-b-408-phaser
